Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,5.254,1,51.75714291
0.254,5.254,1.122018454,52.00739645
0.254,5.254,1.258925412,52.32023069
0.254,5.254,1.412537545,52.71110535
0.254,5.254,1.584893192,53.19899077
0.254,5.254,1.77827941,53.80705004
0.254,5.254,1.995262315,54.56339521
0.254,5.254,2.238721139,55.50190349
0.254,5.254,2.511886432,56.66307375
0.254,5.254,2.818382931,58.094903
0.254,5.254,3.16227766,59.85377326
0.254,5.254,3.548133892,62.00536871
0.254,5.254,3.981071706,64.62569868
0.254,5.254,4.466835922,67.80238619
0.254,5.254,5.011872336,71.63649471
0.254,5.254,5.623413252,76.24530236
0.254,5.254,6.309573445,81.76659759
0.254,5.254,7.079457844,88.36529254
0.254,5.254,7.943282347,96.24350374
0.254,5.254,8.912509381,105.6558816
0.254,5.254,10,116.9331426
0.254,10.254,1,52.25681691
0.254,10.254,1.122018454,52.63992721
0.254,10.254,1.258925412,53.11368991
0.254,10.254,1.412537545,53.70016895
0.254,10.254,1.584893192,54.42634554
0.254,10.254,1.77827941,55.32492415
0.254,10.254,1.995262315,56.43518825
0.254,10.254,2.238721139,57.80388344
0.254,10.254,2.511886432,59.48610566
0.254,10.254,2.818382931,61.54618816
0.254,10.254,3.16227766,64.05862065
0.254,10.254,3.548133892,67.10910591
0.254,10.254,3.981071706,70.7959675
0.254,10.254,4.466835922,75.2322684
0.254,10.254,5.011872336,80.54918902
0.254,10.254,5.623413252,86.90146351
0.254,10.254,6.309573445,94.47604009
0.254,10.254,7.079457844,103.5057355
0.254,10.254,7.943282347,114.2907274
0.254,10.254,8.912509381,127.2327286
0.254,10.254,10,142.8905449
0.508,0.508,1,51.06234639
0.508,0.508,1.122018454,51.12697184
0.508,0.508,1.258925412,51.20400984
0.508,0.508,1.412537545,51.29710966
0.508,0.508,1.584893192,51.41082894
0.508,0.508,1.77827941,51.55082321
0.508,0.508,1.995262315,51.724083
0.508,0.508,2.238721139,51.9392242
0.508,0.508,2.511886432,52.20683588
0.508,0.508,2.818382931,52.53988877
0.508,0.508,3.16227766,52.95420499
0.508,0.508,3.548133892,53.46898765
0.508,0.508,3.981071706,54.10740652
0.508,0.508,4.466835922,54.897236
0.508,0.508,5.011872336,55.87154519
0.508,0.508,5.623413252,57.06945115
0.508,0.508,6.309573445,58.53696612
0.508,0.508,7.079457844,60.32799842
0.508,0.508,7.943282347,62.50560194
0.508,0.508,8.912509381,65.14360585
0.508,0.508,10,68.32879707
5.254,0.254,1,50.97277852
5.254,0.254,1.122018454,51.01492473
5.254,0.254,1.258925412,51.06154527
5.254,0.254,1.412537545,51.11417262
5.254,0.254,1.584893192,51.17484306
5.254,0.254,1.77827941,51.24616354
5.254,0.254,1.995262315,51.33139731
5.254,0.254,2.238721139,51.43457541
5.254,0.254,2.511886432,51.56063807
5.254,0.254,2.818382931,51.71560817
5.254,0.254,3.16227766,51.90679694
5.254,0.254,3.548133892,52.14304046
5.254,0.254,3.981071706,52.43496526
5.254,0.254,4.466835922,52.79528178
5.254,0.254,5.011872336,53.23910854
5.254,0.254,5.623413252,53.78433865
5.254,0.254,6.309573445,54.45207464
5.254,0.254,7.079457844,55.26717849
5.254,0.254,7.943282347,56.25900511
5.254,0.254,8.912509381,57.46240225
5.254,0.254,10,58.91905772
5.254,5.254,1,51.43338873
5.254,5.254,1.122018454,51.63270089
5.254,5.254,1.258925412,51.88038225
5.254,5.254,1.412537545,52.18857253
5.254,5.254,1.584893192,52.57226898
5.254,5.254,1.77827941,53.04988546
5.254,5.254,1.995262315,53.64388274
5.254,5.254,2.238721139,54.3814583
5.254,5.254,2.511886432,55.29527298
5.254,5.254,2.818382931,56.42418013
5.254,5.254,3.16227766,57.81391456
5.254,5.254,3.548133892,59.51769774
5.254,5.254,3.981071706,61.59673006
5.254,5.254,4.466835922,64.12057556
5.254,5.254,5.011872336,67.1675028
5.254,5.254,5.623413252,70.8249225
5.254,5.254,6.309573445,75.19014543
5.254,5.254,7.079457844,80.37175651
5.254,5.254,7.943282347,86.49195256
