"Xdistance [mm]","Ydistance [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
1.254,0.254,1,51.0493541961112
1.254,0.254,1.12201845430196,51.0991362459965
1.254,0.254,1.25892541179417,51.1521844343449
1.254,0.254,1.41253754462275,51.2094474802646
1.254,0.254,1.58489319246111,51.2723982725291
1.254,0.254,1.77827941003892,51.3430933545398
1.254,0.254,1.99526231496888,51.4242314184517
1.254,0.254,2.23872113856834,51.5192225203978
1.254,0.254,2.51188643150958,51.6322770735726
1.254,0.254,2.81838293126445,51.7685196297667
1.254,0.254,3.16227766016838,51.9341283817615
1.254,0.254,3.54813389233575,52.1364980742276
1.254,0.254,3.98107170553497,52.3844222497772
1.254,0.254,4.46683592150963,52.6882914110025
1.254,0.254,5.01187233627272,53.060308254111
1.254,0.254,5.62341325190349,53.5147316356274
1.254,0.254,6.30957344480193,54.0681790873357
1.254,0.254,7.07945784384138,54.740043273995
1.254,0.254,7.94328234724282,55.5531065730196
1.254,0.254,8.91250938133745,56.5344606926712
1.254,0.254,10,57.7168430972391
2.254,0.254,1,50.9982927849279
2.254,0.254,1.12201845430196,51.0434543467084
2.254,0.254,1.25892541179417,51.0923194706095
2.254,0.254,1.41253754462275,51.146070684072
2.254,0.254,1.58489319246111,51.2063973531213
2.254,0.254,1.77827941003892,51.2755552196924
2.254,0.254,1.99526231496888,51.3564340253055
2.254,0.254,2.23872113856834,51.4526429270243
2.254,0.254,2.51188643150958,51.5686205990161
2.254,0.254,2.81838293126445,51.7097736151356
2.254,0.254,3.16227766016838,51.8826437179095
2.254,0.254,3.54813389233575,52.095102365871
2.254,0.254,3.98107170553497,52.3565699624985
2.254,0.254,4.46683592150963,52.6782582520835
2.254,0.254,5.01187233627272,53.0734389754316
2.254,0.254,5.62341325190349,53.557751941669
2.254,0.254,6.30957344480193,54.149582792658
2.254,0.254,7.07945784384138,54.8705646619447
2.254,0.254,7.94328234724282,55.7462846466291
2.254,0.254,8.91250938133745,56.8072969692921
2.254,0.254,10,58.0905493819978
3.254,0.254,1,51.0318209028789
3.254,0.254,1.12201845430196,51.0779190517053
3.254,0.254,1.25892541179417,51.1281967218378
3.254,0.254,1.41253754462275,51.184176279355
3.254,0.254,1.58489319246111,51.2479100803065
3.254,0.254,1.77827941003892,51.3220422794135
3.254,0.254,1.99526231496888,51.4098887695028
3.254,0.254,2.23872113856834,51.5155428588209
3.254,0.254,2.51188643150958,51.6440112666086
3.254,0.254,2.81838293126445,51.8013822366336
3.254,0.254,3.16227766016838,51.9950252721608
3.254,0.254,3.54813389233575,52.2338202968923
3.254,0.254,3.98107170553497,52.5284132501132
3.254,0.254,4.46683592150963,52.891496098827
3.254,0.254,5.01187233627272,53.3381135204988
3.254,0.254,5.62341325190349,53.8860080508482
3.254,0.254,6.30957344480193,54.5560318474836
3.254,0.254,7.07945784384138,55.3726758804371
3.254,0.254,7.94328234724282,56.364791823317
3.254,0.254,8.91250938133745,57.566599013406
3.254,0.254,10,59.0190676723306
4.254,0.254,1,50.9922330723786
4.254,0.254,1.12201845430196,51.0379587865253
4.254,0.254,1.25892541179417,51.0869815595658
4.254,0.254,1.41253754462275,51.1402679114857
4.254,0.254,1.58489319246111,51.1992769077144
4.254,0.254,1.77827941003892,51.2660182584524
4.254,0.254,1.99526231496888,51.343111812533
4.254,0.254,2.23872113856834,51.4338590353557
4.254,0.254,2.51188643150958,51.5423345927338
4.254,0.254,2.81838293126445,51.6735025626747
4.254,0.254,3.16227766016838,51.8333582258696
4.254,0.254,3.54813389233575,52.0290935561953
4.254,0.254,3.98107170553497,52.2692830184402
4.254,0.254,4.46683592150963,52.5640869242924
4.254,0.254,5.01187233627272,52.9254738111071
4.254,0.254,5.62341325190349,53.3674729707778
4.254,0.254,6.30957344480193,53.9064850002174
4.254,0.254,7.07945784384138,54.5617019076778
4.254,0.254,7.94328234724282,55.3557150004991
4.254,0.254,8.91250938133745,56.3154098598353
4.254,0.254,10,57.4732519753191
5.254,0.254,1,50.9727785176253
5.254,0.254,1.12201845430196,51.0149247302781
5.254,0.254,1.25892541179417,51.0615452715749
5.254,0.254,1.41253754462275,51.1141726151752
5.254,0.254,1.58489319246111,51.1748430631933
5.254,0.254,1.77827941003892,51.2461635390268
5.254,0.254,1.99526231496888,51.3313973099248
5.254,0.254,2.23872113856834,51.4345754103075
5.254,0.254,2.51188643150958,51.5606380686054
5.254,0.254,2.81838293126445,51.7156081746625
5.254,0.254,3.16227766016838,51.9067969376381
5.254,0.254,3.54813389233575,52.1430404565584
5.254,0.254,3.98107170553497,52.4349652607952
5.254,0.254,4.46683592150963,52.7952817761022
5.254,0.254,5.01187233627272,53.2391085427008
5.254,0.254,5.62341325190349,53.7843386507556
5.254,0.254,6.30957344480193,54.452074640159
5.254,0.254,7.07945784384138,55.2671784940306
5.254,0.254,7.94328234724282,56.2590051060219
5.254,0.254,8.91250938133745,57.4624022494294
5.254,0.254,10,58.919057721534
5.254,0.508,1,50.9371330545816
5.254,0.508,1.12201845430196,50.9882201796661
5.254,0.508,1.25892541179417,51.0484557050593
5.254,0.508,1.41253754462275,51.1204982106746
5.254,0.508,1.58489319246111,51.2077208854154
5.254,0.508,1.77827941003892,51.3143496616409
5.254,0.508,1.99526231496888,51.4456363376715
5.254,0.508,2.23872113856834,51.6080730573416
5.254,0.508,2.51188643150958,51.8096530601517
5.254,0.508,2.81838293126445,52.0601811082069
5.254,0.508,3.16227766016838,52.3716353660237
5.254,0.508,3.54813389233575,52.7585807625787
5.254,0.508,3.98107170553497,53.2386323775422
5.254,0.508,4.46683592150963,53.8329670519384
5.254,0.508,5.01187233627272,54.5668836429029
5.254,0.508,5.62341325190349,55.4704187005672
5.254,0.508,6.30957344480193,56.5790356800376
5.254,0.508,7.07945784384138,57.9344209261862
5.254,0.508,7.94328234724282,59.5854346160717
5.254,0.508,8.91250938133745,61.5892742537574
5.254,0.508,10,64.012910306752
6.254,0.254,1,50.9336375165887
6.254,0.254,1.12201845430196,50.9742818203195
6.254,0.254,1.25892541179417,51.0184841453948
6.254,0.254,1.41253754462275,51.0672346086026
6.254,0.254,1.58489319246111,51.1219791662744
6.254,0.254,1.77827941003892,51.1846813839974
6.254,0.254,1.99526231496888,51.2578876022835
6.254,0.254,2.23872113856834,51.3448047311405
6.254,0.254,2.51188643150958,51.4493980532442
6.254,0.254,2.81838293126445,51.576513530841
6.254,0.254,3.16227766016838,51.7320261851353
6.254,0.254,3.54813389233575,51.9230138039954
6.254,0.254,3.98107170553497,52.1579540922579
6.254,0.254,4.46683592150963,52.4469442311071
6.254,0.254,5.01187233627272,52.8019460036941
6.254,0.254,5.62341325190349,53.2370689654422
6.254,0.254,6.30957344480193,53.7689201707127
6.254,0.254,7.07945784384138,54.4170716966646
6.254,0.254,7.94328234724282,55.2047232440908
6.254,0.254,8.91250938133745,56.1596587832886
6.254,0.254,10,57.3156036722308
7.254,0.254,1,51.0052475811772
