Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,10.254,0.1,50.20589925
0.254,10.254,0.101157945,50.20599328
0.254,10.254,0.102329299,50.20608943
0.254,10.254,0.103514217,50.20618773
0.254,10.254,0.104712855,50.20628824
0.254,10.254,0.105925373,50.206391
0.254,10.254,0.107151931,50.20649606
0.254,10.254,0.108392691,50.20660346
0.254,10.254,0.10964782,50.20671327
0.254,10.254,0.110917482,50.20682552
0.254,10.254,0.112201845,50.20694028
0.254,10.254,0.113501082,50.2070576
0.254,10.254,0.114815362,50.20717753
0.254,10.254,0.116144861,50.20730012
0.254,10.254,0.117489755,50.20742544
0.254,10.254,0.118850223,50.20755353
0.254,10.254,0.120226443,50.20768447
0.254,10.254,0.1216186,50.2078183
0.254,10.254,0.123026877,50.2079551
0.254,10.254,0.124451461,50.20809491
0.254,10.254,0.125892541,50.20823782
0.254,10.254,0.127350308,50.20838387
0.254,10.254,0.128824955,50.20853314
0.254,10.254,0.130316678,50.20868569
0.254,10.254,0.131825674,50.20884159
0.254,10.254,0.133352143,50.20900091
0.254,10.254,0.134896288,50.20916372
0.254,10.254,0.136458314,50.2093301
0.254,10.254,0.138038426,50.20950011
0.254,10.254,0.139636836,50.20967384
0.254,10.254,0.141253754,50.20985135
0.254,10.254,0.142889396,50.21003272
0.254,10.254,0.144543977,50.21021803
0.254,10.254,0.146217717,50.21040737
0.254,10.254,0.147910839,50.21060082
0.254,10.254,0.149623566,50.21079844
0.254,10.254,0.151356125,50.21100034
0.254,10.254,0.153108746,50.2112066
0.254,10.254,0.154881662,50.2114173
0.254,10.254,0.156675107,50.21163254
0.254,10.254,0.158489319,50.21185239
0.254,10.254,0.160324539,50.21207696
0.254,10.254,0.16218101,50.21230634
0.254,10.254,0.164058977,50.21254063
0.254,10.254,0.165958691,50.21277991
0.254,10.254,0.167880402,50.21302428
0.254,10.254,0.169824365,50.21327386
0.254,10.254,0.171790839,50.21352873
0.254,10.254,0.173780083,50.213789
0.254,10.254,0.175792361,50.21405478
0.254,10.254,0.177827941,50.21432617
0.254,10.254,0.179887092,50.21460328
0.254,10.254,0.181970086,50.21488621
0.254,10.254,0.1840772,50.21517509
0.254,10.254,0.186208714,50.21547002
0.254,10.254,0.188364909,50.21577111
0.254,10.254,0.190546072,50.21607849
0.254,10.254,0.192752491,50.21639227
0.254,10.254,0.19498446,50.21671258
0.254,10.254,0.197242274,50.21703953
0.254,10.254,0.199526231,50.21737324
0.254,10.254,0.201836636,50.21771386
0.254,10.254,0.204173794,50.21806149
0.254,10.254,0.206538016,50.21841627
0.254,10.254,0.208929613,50.21877834
0.254,10.254,0.211348904,50.21914782
0.254,10.254,0.213796209,50.21952485
0.254,10.254,0.216271852,50.21990957
0.254,10.254,0.218776162,50.22030212
0.254,10.254,0.221309471,50.22070264
0.254,10.254,0.223872114,50.22111126
0.254,10.254,0.226464431,50.22152815
0.254,10.254,0.229086765,50.22195344
0.254,10.254,0.231739465,50.22238729
0.254,10.254,0.234422882,50.22282984
0.254,10.254,0.237137371,50.22328126
0.254,10.254,0.239883292,50.22374169
0.254,10.254,0.24266101,50.2242113
0.254,10.254,0.245470892,50.22469025
0.254,10.254,0.248313311,50.22517869
0.254,10.254,0.251188643,50.22567681
0.254,10.254,0.254097271,50.22618475
0.254,10.254,0.257039578,50.2267027
0.254,10.254,0.260015956,50.22723083
0.254,10.254,0.263026799,50.22776931
0.254,10.254,0.266072506,50.22831833
0.254,10.254,0.26915348,50.22887805
0.254,10.254,0.272270131,50.22944867
0.254,10.254,0.27542287,50.23003038
0.254,10.254,0.278612117,50.23062335
0.254,10.254,0.281838293,50.23122779
0.254,10.254,0.285101827,50.23184389
0.254,10.254,0.28840315,50.23247185
0.254,10.254,0.291742701,50.23311186
0.254,10.254,0.295120923,50.23376414
0.254,10.254,0.298538262,50.23442888
0.254,10.254,0.301995172,50.23510631
0.254,10.254,0.305492111,50.23579663
0.254,10.254,0.309029543,50.23650007
0.254,10.254,0.312607937,50.23721684
0.254,10.254,0.316227766,50.23794718
0.254,10.254,0.319889511,50.2386913
0.254,10.254,0.323593657,50.23944945
0.254,10.254,0.327340695,50.24022187
0.254,10.254,0.331131121,50.24100878
0.254,10.254,0.334965439,50.24181045
0.254,10.254,0.338844156,50.24262711
0.254,10.254,0.342767787,50.24345904
0.254,10.254,0.34673685,50.24430648
0.254,10.254,0.350751874,50.2451697
0.254,10.254,0.354813389,50.24604897
0.254,10.254,0.358921935,50.24694457
0.254,10.254,0.363078055,50.24785678
0.254,10.254,0.3672823,50.24878589
0.254,10.254,0.371535229,50.24973219
0.254,10.254,0.375837404,50.25069597
0.254,10.254,0.380189396,50.25167755
0.254,10.254,0.384591782,50.25267723
0.254,10.254,0.389045145,50.25369534
0.254,10.254,0.393550075,50.25473219
0.254,10.254,0.398107171,50.25578813
0.254,10.254,0.402717034,50.25686349
0.254,10.254,0.407380278,50.25795862
0.254,10.254,0.412097519,50.25907388
0.254,10.254,0.416869383,50.26020962
0.254,10.254,0.421696503,50.26136623
0.254,10.254,0.426579519,50.26254408
0.254,10.254,0.431519077,50.26374357
0.254,10.254,0.436515832,50.26496509
0.254,10.254,0.441570447,50.26620906
0.254,10.254,0.446683592,50.26747589
0.254,10.254,0.451855944,50.26876601
0.254,10.254,0.45708819,50.27007987
0.254,10.254,0.462381021,50.27141791
0.254,10.254,0.467735141,50.27278061
0.254,10.254,0.473151259,50.27416843
0.254,10.254,0.478630092,50.27558186
0.254,10.254,0.484172368,50.2770214
0.254,10.254,0.489778819,50.27848757
0.254,10.254,0.495450191,50.27998088
0.254,10.254,0.501187234,50.28150188
0.254,10.254,0.506990708,50.28305113
0.254,10.254,0.512861384,50.28462919
0.254,10.254,0.518800039,50.28623663
0.254,10.254,0.52480746,50.28787407
0.254,10.254,0.530884444,50.28954211
0.254,10.254,0.537031796,50.29124139
0.254,10.254,0.543250331,50.29297254
0.254,10.254,0.549540874,50.29473624
0.254,10.254,0.555904257,50.29653317
0.254,10.254,0.562341325,50.29836402
0.254,10.254,0.568852931,50.30022951
0.254,10.254,0.575439937,50.30213038
0.254,10.254,0.582103218,50.30406739
0.254,10.254,0.588843655,50.30604131
0.254,10.254,0.595662144,50.30805294
0.254,10.254,0.602559586,50.31010309
0.254,10.254,0.609536897,50.31219261
0.254,10.254,0.616595002,50.31432235
0.254,10.254,0.623734835,50.31649321
0.254,10.254,0.630957344,50.31870608
0.254,10.254,0.638263486,50.3209619
0.254,10.254,0.645654229,50.32326163
0.254,10.254,0.653130553,50.32560624
0.254,10.254,0.660693448,50.32799673
0.254,10.254,0.668343918,50.33043415
0.254,10.254,0.676082975,50.33291954
0.254,10.254,0.683911647,50.335454
0.254,10.254,0.691830971,50.33803863
0.254,10.254,0.699841996,50.34067457
0.254,10.254,0.707945784,50.34336301
0.254,10.254,0.71614341,50.34610513
0.254,10.254,0.72443596,50.34890216
0.254,10.254,0.732824533,50.35175537
0.254,10.254,0.741310241,50.35466605
0.254,10.254,0.749894209,50.35763553
0.254,10.254,0.758577575,50.36066516
0.254,10.254,0.767361489,50.36375633
0.254,10.254,0.776247117,50.36691048
0.254,10.254,0.785235635,50.37012905
0.254,10.254,0.794328235,50.37341356
0.254,10.254,0.803526122,50.37676552
0.254,10.254,0.812830516,50.38018652
0.254,10.254,0.82224265,50.38367817
0.254,10.254,0.831763771,50.3872421
0.254,10.254,0.841395142,50.39088001
0.254,10.254,0.851138038,50.39459362
0.254,10.254,0.860993752,50.39838471
0.254,10.254,0.87096359,50.40225509
0.254,10.254,0.881048873,50.4062066
0.254,10.254,0.891250938,50.41024116
0.254,10.254,0.901571138,50.41436069
0.254,10.254,0.912010839,50.4185672
0.254,10.254,0.922571427,50.42286271
0.254,10.254,0.933254301,50.4272493
0.254,10.254,0.944060876,50.43172912
0.254,10.254,0.954992586,50.43630433
0.254,10.254,0.966050879,50.44097718
0.254,10.254,0.977237221,50.44574993
0.254,10.254,0.988553095,50.45062493
0.254,10.254,1,50.45560456
0.254,10.254,1.011579454,50.46062042
0.254,10.254,1.023292992,50.46574721
0.254,10.254,1.035142167,50.47098735
0.254,10.254,1.047128548,50.47634326
0.254,10.254,1.059253725,50.48181743
0.254,10.254,1.071519305,50.48741242
0.254,10.254,1.083926914,50.49313082
0.254,10.254,1.096478196,50.49897529
0.254,10.254,1.109174815,50.50494855
0.254,10.254,1.122018454,50.51105335
0.254,10.254,1.135010816,50.51729254
0.254,10.254,1.148153621,50.523669
0.254,10.254,1.161448614,50.53018568
0.254,10.254,1.174897555,50.53684561
0.254,10.254,1.188502227,50.54365185
0.254,10.254,1.202264435,50.55060757
0.254,10.254,1.216186001,50.55771597
