"Xdistance [mm]","Ydistance [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
1.254,0.254,1,51.1009935177577
1.254,0.254,1.12201845430196,51.1481444294439
1.254,0.254,1.25892541179417,51.1992196306988
1.254,0.254,1.41253754462275,51.2559444910186
1.254,0.254,1.58489319246111,51.320562088187
1.254,0.254,1.77827941003892,51.39589183399
1.254,0.254,1.99526231496888,51.4854130904552
1.254,0.254,2.23872113856834,51.5933786556849
1.254,0.254,2.51188643150958,51.7249603557444
1.254,0.254,2.81838293126445,51.8864269009441
1.254,0.254,3.16227766016838,52.0853525010751
1.254,0.254,3.54813389233575,52.3308534444935
1.254,0.254,3.98107170553497,52.6338492616012
1.254,0.254,4.46683592150963,53.0073461900836
1.254,0.254,5.01187233627272,53.4667451685751
1.254,0.254,5.62341325190349,54.0301866762624
1.254,0.254,6.30957344480193,54.7189621923295
1.254,0.254,7.07945784384138,55.5580464928735
1.254,0.254,7.94328234724282,56.5768318874889
1.254,0.254,8.91250938133745,57.8101652938995
1.254,0.254,10,59.2997902560099
2.254,0.254,1,51.0493384793295
2.254,0.254,1.12201845430196,51.0968662757788
2.254,0.254,1.25892541179417,51.1487720928714
2.254,0.254,1.41253754462275,51.2066618002156
2.254,0.254,1.58489319246111,51.2726887774937
2.254,0.254,1.77827941003892,51.3496183891144
2.254,0.254,1.99526231496888,51.4409120576526
2.254,0.254,2.23872113856834,51.5508384675764
2.254,0.254,2.51188643150958,51.6846163259009
2.254,0.254,2.81838293126445,51.8485902989075
2.254,0.254,3.16227766016838,52.0504394244482
2.254,0.254,3.54813389233575,52.2994155292412
2.254,0.254,3.98107170553497,52.6066082818668
2.254,0.254,4.46683592150963,52.9852343670041
2.254,0.254,5.01187233627272,53.4509524229586
2.254,0.254,5.62341325190349,54.0222148556994
2.254,0.254,6.30957344480193,54.7206839427436
2.254,0.254,7.07945784384138,55.5717621516564
2.254,0.254,7.94328234724282,56.6053105666746
2.254,0.254,8.91250938133745,57.8566452380284
2.254,0.254,10,59.3678979750954
3.254,0.254,1,51.0195093807307
3.254,0.254,1.12201845430196,51.0630054603334
3.254,0.254,1.25892541179417,51.1100331608928
3.254,0.254,1.41253754462275,51.1620084202968
3.254,0.254,1.58489319246111,51.2208330375584
3.254,0.254,1.77827941003892,51.2889462818778
3.254,0.254,1.99526231496888,51.3693945635315
3.254,0.254,2.23872113856834,51.4659257219571
3.254,0.254,2.51188643150958,51.5831115509627
3.254,0.254,2.81838293126445,51.7264996203662
3.254,0.254,3.16227766016838,51.9027934138173
3.254,0.254,3.54813389233575,52.1200582994469
3.254,0.254,3.98107170553497,52.3879501555009
