Xdistance [mm],Ydistance [mm],Freq [MHz],"mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,10.254,0.1,50.20607996
0.254,10.254,0.101157945,50.20617588
0.254,10.254,0.102329299,50.20627394
0.254,10.254,0.103514217,50.20637416
0.254,10.254,0.104712855,50.2064766
0.254,10.254,0.105925373,50.20658131
0.254,10.254,0.107151931,50.20668832
0.254,10.254,0.108392691,50.20679769
0.254,10.254,0.10964782,50.20690946
0.254,10.254,0.110917482,50.2070237
0.254,10.254,0.112201845,50.20714044
0.254,10.254,0.113501082,50.20725974
0.254,10.254,0.114815362,50.20738165
0.254,10.254,0.116144861,50.20750623
0.254,10.254,0.117489755,50.20763353
0.254,10.254,0.118850223,50.2077636
0.254,10.254,0.120226443,50.20789651
0.254,10.254,0.1216186,50.20803231
0.254,10.254,0.123026877,50.20817106
0.254,10.254,0.124451461,50.20831281
0.254,10.254,0.125892541,50.20845763
0.254,10.254,0.127350308,50.20860559
0.254,10.254,0.128824955,50.20875674
0.254,10.254,0.130316678,50.20891114
0.254,10.254,0.131825674,50.20906887
0.254,10.254,0.133352143,50.20922998
0.254,10.254,0.134896288,50.20939455
0.254,10.254,0.136458314,50.20956264
0.254,10.254,0.138038426,50.20973433
0.254,10.254,0.139636836,50.20990967
0.254,10.254,0.141253754,50.21008875
0.254,10.254,0.142889396,50.21027164
0.254,10.254,0.144543977,50.2104584
0.254,10.254,0.146217717,50.21064912
0.254,10.254,0.147910839,50.21084388
0.254,10.254,0.149623566,50.21104274
0.254,10.254,0.151356125,50.21124578
0.254,10.254,0.153108746,50.21145309
0.254,10.254,0.154881662,50.21166475
0.254,10.254,0.156675107,50.21188084
0.254,10.254,0.158489319,50.21210143
0.254,10.254,0.160324539,50.21232663
0.254,10.254,0.16218101,50.2125565
0.254,10.254,0.164058977,50.21279115
0.254,10.254,0.165958691,50.21303065
0.254,10.254,0.167880402,50.21327509
0.254,10.254,0.169824365,50.21352458
0.254,10.254,0.171790839,50.21377919
0.254,10.254,0.173780083,50.21403902
0.254,10.254,0.175792361,50.21430417
0.254,10.254,0.177827941,50.21457473
0.254,10.254,0.179887092,50.2148508
0.254,10.254,0.181970086,50.21513247
0.254,10.254,0.1840772,50.21541985
0.254,10.254,0.186208714,50.21571304
0.254,10.254,0.188364909,50.21601214
0.254,10.254,0.190546072,50.21631725
0.254,10.254,0.192752491,50.21662848
0.254,10.254,0.19498446,50.21694593
0.254,10.254,0.197242274,50.21726971
0.254,10.254,0.199526231,50.21759993
0.254,10.254,0.201836636,50.21793671
0.254,10.254,0.204173794,50.21828014
0.254,10.254,0.206538016,50.21863035
0.254,10.254,0.208929613,50.21898746
0.254,10.254,0.211348904,50.21935156
0.254,10.254,0.213796209,50.21972279
0.254,10.254,0.216271852,50.22010126
0.254,10.254,0.218776162,50.22048709
0.254,10.254,0.221309471,50.22088041
0.254,10.254,0.223872114,50.22128133
0.254,10.254,0.226464431,50.22168999
0.254,10.254,0.229086765,50.2221065
0.254,10.254,0.231739465,50.22253099
0.254,10.254,0.234422882,50.2229636
0.254,10.254,0.237137371,50.22340446
0.254,10.254,0.239883292,50.2238537
0.254,10.254,0.24266101,50.22431144
0.254,10.254,0.245470892,50.22477784
0.254,10.254,0.248313311,50.22525302
0.254,10.254,0.251188643,50.22573713
0.254,10.254,0.254097271,50.22623031
0.254,10.254,0.257039578,50.22673269
0.254,10.254,0.260015956,50.22724443
0.254,10.254,0.263026799,50.22776567
0.254,10.254,0.266072506,50.22829657
0.254,10.254,0.26915348,50.22883726
0.254,10.254,0.272270131,50.22938791
0.254,10.254,0.27542287,50.22994867
0.254,10.254,0.278612117,50.2305197
0.254,10.254,0.281838293,50.23110116
0.254,10.254,0.285101827,50.2316932
0.254,10.254,0.28840315,50.232296
0.254,10.254,0.291742701,50.23290972
0.254,10.254,0.295120923,50.23353453
0.254,10.254,0.298538262,50.23417061
0.254,10.254,0.301995172,50.23481813
0.254,10.254,0.305492111,50.23547726
0.254,10.254,0.309029543,50.23614819
0.254,10.254,0.312607937,50.2368311
0.254,10.254,0.316227766,50.23752619
0.254,10.254,0.319889511,50.23823364
0.254,10.254,0.323593657,50.23895364
0.254,10.254,0.327340695,50.23968639
0.254,10.254,0.331131121,50.24043211
0.254,10.254,0.334965439,50.24119098
0.254,10.254,0.338844156,50.24196323
0.254,10.254,0.342767787,50.24274906
0.254,10.254,0.34673685,50.2435487
0.254,10.254,0.350751874,50.24436236
0.254,10.254,0.354813389,50.24519028
0.254,10.254,0.358921935,50.24603269
0.254,10.254,0.363078055,50.24688982
0.254,10.254,0.3672823,50.24776192
0.254,10.254,0.371535229,50.24864924
0.254,10.254,0.375837404,50.24955202
0.254,10.254,0.380189396,50.25047055
0.254,10.254,0.384591782,50.25140507
0.254,10.254,0.389045145,50.25235586
0.254,10.254,0.393550075,50.2533232
0.254,10.254,0.398107171,50.25430738
0.254,10.254,0.402717034,50.25530868
0.254,10.254,0.407380278,50.25632742
0.254,10.254,0.412097519,50.2573639
0.254,10.254,0.416869383,50.25841844
0.254,10.254,0.421696503,50.25949135
0.254,10.254,0.426579519,50.26058298
0.254,10.254,0.431519077,50.26169366
0.254,10.254,0.436515832,50.26282375
0.254,10.254,0.441570447,50.26397361
0.254,10.254,0.446683592,50.26514359
0.254,10.254,0.451855944,50.2663341
0.254,10.254,0.45708819,50.26754551
0.254,10.254,0.462381021,50.26877822
0.254,10.254,0.467735141,50.27003265
0.254,10.254,0.473151259,50.27130922
0.254,10.254,0.478630092,50.27260837
0.254,10.254,0.484172368,50.27393053
0.254,10.254,0.489778819,50.27527618
0.254,10.254,0.495450191,50.27664577
0.254,10.254,0.501187234,50.2780398
0.254,10.254,0.506990708,50.27945876
0.254,10.254,0.512861384,50.28090317
0.254,10.254,0.518800039,50.28237354
0.254,10.254,0.52480746,50.28387042
0.254,10.254,0.530884444,50.28539437
0.254,10.254,0.537031796,50.28694595
0.254,10.254,0.543250331,50.28852576
0.254,10.254,0.549540874,50.29013438
0.254,10.254,0.555904257,50.29177245
0.254,10.254,0.562341325,50.2934406
0.254,10.254,0.568852931,50.29513948
0.254,10.254,0.575439937,50.29686976
0.254,10.254,0.582103218,50.29863213
0.254,10.254,0.588843655,50.3004273
0.254,10.254,0.595662144,50.302256
0.254,10.254,0.602559586,50.30411897
0.254,10.254,0.609536897,50.30601698
0.254,10.254,0.616595002,50.30795082
0.254,10.254,0.623734835,50.30992129
0.254,10.254,0.630957344,50.31192922
0.254,10.254,0.638263486,50.31397548
0.254,10.254,0.645654229,50.31606092
0.254,10.254,0.653130553,50.31818644
0.254,10.254,0.660693448,50.32035298
