"Xdistance [mm]","Ydistance [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
0.254,1.254,1,51.2115020532262
0.254,1.254,1.12201845430196,51.3282207927481
0.254,1.254,1.25892541179417,51.4718897085884
0.254,1.254,1.41253754462275,51.6496952659146
0.254,1.254,1.58489319246111,51.8705607543187
0.254,1.254,1.77827941003892,52.1455261673606
0.254,1.254,1.99526231496888,52.4882035298927
0.254,1.254,2.23872113856834,52.9153122985611
0.254,1.254,2.51188643150958,53.4472958996276
0.254,1.254,2.81838293126445,54.1090156116047
0.254,1.254,3.16227766016838,54.9305123267435
0.254,1.254,3.54813389233575,55.9478218444493
0.254,1.254,3.98107170553497,57.2038285457111
0.254,1.254,4.46683592150963,58.7491508085983
0.254,1.254,5.01187233627272,60.6430761478361
0.254,1.254,5.62341325190349,62.9546115662602
0.254,1.254,6.30957344480193,65.763789242469
0.254,1.254,7.07945784384138,69.1634692282539
0.254,1.254,7.94328234724282,73.262006479201
0.254,1.254,8.91250938133745,78.187302827441
0.254,1.254,10,84.0929719887872
0.254,2.254,1,51.3932402864715
0.254,2.254,1.12201845430196,51.5574843545806
0.254,2.254,1.25892541179417,51.7612878175229
0.254,2.254,1.41253754462275,52.0148997759638
0.254,2.254,1.58489319246111,52.3309672497483
0.254,2.254,1.77827941003892,52.7250470582756
0.254,2.254,1.99526231496888,53.2161994022335
0.254,2.254,2.23872113856834,53.8276606649907
0.254,2.254,2.51188643150958,54.5875864176957
0.254,2.254,2.81838293126445,55.5298481190996
0.254,2.254,3.16227766016838,56.6948607237127
0.254,2.254,3.54813389233575,58.1304174769544
0.254,2.254,3.98107170553497,59.8925188191079
0.254,2.254,4.46683592150963,62.0462121626509
0.254,2.254,5.01187233627272,64.6665152105433
0.254,2.254,5.62341325190349,67.8395805125316
0.254,2.254,6.30957344480193,71.664370216142
0.254,2.254,7.07945784384138,76.255240824229
0.254,2.254,7.94328234724282,81.7459875982632
0.254,2.254,8.91250938133745,88.2960897519935
0.254,2.254,10,96.1001980261944
0.254,3.254,1,51.5355895573178
0.254,3.254,1.12201845430196,51.7354876033938
0.254,3.254,1.25892541179417,51.9844980978019
0.254,3.254,1.41253754462275,52.2950952255916
